id,name,type,date,spotifyurl,imageurl
6KY2voufuen4nldrrHBkgH,Lupe Fiasco's Food & Liquor (5th Anniversary Edition [Deluxe]),album,2006-06-27,https://open.spotify.com/album/6KY2voufuen4nldrrHBkgH,https://i.scdn.co/image/5238e68972cb221ae1004653f8ebacc219d65e91

2lTYr1zqAUD7gdlv0Q9FP5,Coulda Been,single,2017-05-12,https://open.spotify.com/album/2lTYr1zqAUD7gdlv0Q9FP5,https://i.scdn.co/image/35f9731d271a4dda49ed6a8b8a5cdbf1eb58ce32

7ib9X5uz7oxacyITRvKY0z,Countdown (feat. Chris Turner),single,2015-05-26,https://open.spotify.com/album/7ib9X5uz7oxacyITRvKY0z,https://i.scdn.co/image/61a53df6f9e52cfc1e47e1369447583e2aa3052f

4OMzGXv2YX60T8hiTfxfbK,When It's Dark Out,album,2015-12-04,https://open.spotify.com/album/4OMzGXv2YX60T8hiTfxfbK,https://i.scdn.co/image/ae45b22524294a7c525ccee74de69f111d0fbcb7

4OtmW3Mk0gxhDXdP2YiyyT,These Things Happen,album,2014-06-19,https://open.spotify.com/album/4OtmW3Mk0gxhDXdP2YiyyT,https://i.scdn.co/image/468fe543a33ba684130563bedfe72610d992d852

7yCbu7o0EWJchtPOPL07in,Him & I (with Halsey),single,2017-11-30,https://open.spotify.com/album/7yCbu7o0EWJchtPOPL07in,https://i.scdn.co/image/25e6552068b779a9f637c14e099dc170c6c2ba4e

0XaKatmYb4OO09G8CNfJUW,Love Is Gone,single,2017-12-12,https://open.spotify.com/album/0XaKatmYb4OO09G8CNfJUW,https://i.scdn.co/image/25e6552068b779a9f637c14e099dc170c6c2ba4e

5r6wPILAcTUz4oDDNFzDlP,No Limit REMIX,single,2017-12-13,https://open.spotify.com/album/5r6wPILAcTUz4oDDNFzDlP,https://i.scdn.co/image/05330f8d57cd821949a6527486f8db00240bd20d

3QOKeZDunAx4TCt9tjaQrC,Spotify Sessions,album,2014-09-23,https://open.spotify.com/album/3QOKeZDunAx4TCt9tjaQrC,https://i.scdn.co/image/b90834a83b840f5fef7f3ca35a6281681ca46c2c

0sVRIT8KWeyG29epKQ28rN,Sober,single,2017-12-08,https://open.spotify.com/album/0sVRIT8KWeyG29epKQ28rN,https://i.scdn.co/image/25e6552068b779a9f637c14e099dc170c6c2ba4e

1wRnE3zgCE5oY28pzmlsqe,Must Be Nice,album,2012-09-26,https://open.spotify.com/album/1wRnE3zgCE5oY28pzmlsqe,https://i.scdn.co/image/39d16137d22322adf6ed64c9e4681b02d8a0c16c

1aPDyJPC4ZxBchDnT1zJVP,Summer In December,single,2017-11-24,https://open.spotify.com/album/1aPDyJPC4ZxBchDnT1zJVP,https://i.scdn.co/image/25e6552068b779a9f637c14e099dc170c6c2ba4e

27atNaigBWiynn73FNUZ61,The Beautiful & Damned,single,2017-11-14,https://open.spotify.com/album/27atNaigBWiynn73FNUZ61,https://i.scdn.co/image/25e6552068b779a9f637c14e099dc170c6c2ba4e

7H0msYuM7DAo7WjjR2HozL,Phone Sex,single,2012-07-16,https://open.spotify.com/album/7H0msYuM7DAo7WjjR2HozL,https://i.scdn.co/image/dfc3677a3f754952bcf6a5ed2f472c826ca80ce6

2HOi3dKI0Ifxldoj86sL3M,Kill V. Maim (Little Jimmy Urine Remix),single,2016-03-07,https://open.spotify.com/album/2HOi3dKI0Ifxldoj86sL3M,https://i.scdn.co/image/0f1f51e37975ec09616afb1f36cbb647ff09327f

3M5v4kVIOcncI9O8KpINc1,Geidi Primes,album,2010-10-01,https://open.spotify.com/album/3M5v4kVIOcncI9O8KpINc1,https://i.scdn.co/image/1bc5cbc2297aac5477217d71e5f70b6c8b0a410d

0cnNCK2xpudXjB8pzsrYy9,Strange Desire,album,2014-07-11,https://open.spotify.com/album/0cnNCK2xpudXjB8pzsrYy9,https://i.scdn.co/image/d8ffbf5e21610ab1d2f0c2103aa3d3c488659a87

1t9k2P4C88alWEikeJb4mI,Art Angels,album,2015-11-06,https://open.spotify.com/album/1t9k2P4C88alWEikeJb4mI,https://i.scdn.co/image/77f17fbb87db0cd8595428d6c8bf1fe665df850c

2FXWjCgqaHJ2FdyZzQVVAw,Flesh Without Blood,single,2015-10-26,https://open.spotify.com/album/2FXWjCgqaHJ2FdyZzQVVAw,https://i.scdn.co/image/77f17fbb87db0cd8595428d6c8bf1fe665df850c

4KL4FiVZkya6twUbXgVkMF,Entropy,single,2015-03-15,https://open.spotify.com/album/4KL4FiVZkya6twUbXgVkMF,https://i.scdn.co/image/d56883742363feb6d15f0736ea13d8804e48f335

6FlNBUdWt1dfrK1miWRksh,Reach This Level,single,2016-12-15,https://open.spotify.com/album/6FlNBUdWt1dfrK1miWRksh,https://i.scdn.co/image/29582949599718f0f3beb851126eed358f0f657b

3ttWoxpmhvizD9yvhxfMqd,Halfaxa,album,2010-10-05,https://open.spotify.com/album/3ttWoxpmhvizD9yvhxfMqd,https://i.scdn.co/image/9d8075b554e336d06e1aa8ebd401ef1f4f35fca6

5ttXoEklGr82AeYSEkfNfA,Go (feat. Blood Diamonds),single,2014-07-03,https://open.spotify.com/album/5ttXoEklGr82AeYSEkfNfA,https://i.scdn.co/image/73e7e8a75691709387da9eda1ade98f5185692ea

4ObLcUJkqg7dTx0mjUrAtr,Darkbloom,single,2011-04-18,https://open.spotify.com/album/4ObLcUJkqg7dTx0mjUrAtr,https://i.scdn.co/image/9a90583df747e300bf6311278972be7ae57eaa23

31UkOFXFzs60MKd1yHgh8S,Visions,album,2012-02-21,https://open.spotify.com/album/31UkOFXFzs60MKd1yHgh8S,https://i.scdn.co/image/763c6139dc3300d79bd55da1a2ac576603791340

2oHFH29gn6dOWt3T36jYVW,"A Music Compilation by Connor Franta, Vol. I",album,2014-11-11,https://open.spotify.com/album/2oHFH29gn6dOWt3T36jYVW,https://i.scdn.co/image/7b46ea5f02c439673f4b0acfc6de8f2c3cb39330

7uRVKY0p4lYDwaVZqjrlX1,Stanleys House,album,2015-07-20,https://open.spotify.com/album/7uRVKY0p4lYDwaVZqjrlX1,https://i.scdn.co/image/f10aa8b82abc59dff65f995553bfc080f11ac9db

6xJbSi7FcNYwTOaAd5FN30,All I Ever Wanted,album,2015-05-01,https://open.spotify.com/album/6xJbSi7FcNYwTOaAd5FN30,https://i.scdn.co/image/f0125a1bee57c3f4e8b526e5b3081354b4dcda35

1Jp3I0rlSvR3j2byVD6rjS,Thesis (Side B),album,2013-12-30,https://open.spotify.com/album/1Jp3I0rlSvR3j2byVD6rjS,https://i.scdn.co/image/8c28b18645883ea6afb2f1c1a720a332c071590d

4QBNoJ6ZyvsMrRFeWnWg04,Broken Bones,album,2015-05-11,https://open.spotify.com/album/4QBNoJ6ZyvsMrRFeWnWg04,https://i.scdn.co/image/c24f75f6e2e3e72113439350d3eb8c5426db648d

0QkqdkurXQeiSknFgHy8PI,From The Wilderness To The City,single,2015-11-27,https://open.spotify.com/album/0QkqdkurXQeiSknFgHy8PI,https://i.scdn.co/image/79592db15c0e4ad3be5a4f96222377f8ef198151

4fXgyuvLbgY2bKg4GfE2oh,LINES,album,2017-04-07,https://open.spotify.com/album/4fXgyuvLbgY2bKg4GfE2oh,https://i.scdn.co/image/5e3bafd42e3673037d8e8ab68df9af8cf032a8bf

5R7pZCNzj4XO135fvmVSvk,Mtv1987,album,2015-12-25,https://open.spotify.com/album/5R7pZCNzj4XO135fvmVSvk,https://i.scdn.co/image/93428eaa48a1ccd5c1d989c1d4d2071b998bde79

2H3Y62qgm1Y0AtjX4BV8TE,Yellow,single,2016-11-04,https://open.spotify.com/album/2H3Y62qgm1Y0AtjX4BV8TE,https://i.scdn.co/image/1bdc58772e0719c0c96e3654ea1a9eedd178efaf

5T2HVBCO4BpCbcgmfehPNC,ECHO - Single,single,2015-12-01,https://open.spotify.com/album/5T2HVBCO4BpCbcgmfehPNC,https://i.scdn.co/image/84e023ac372a0b3686c93f20283c87a1efe8c7d7

40axBXVJLr1yx4oRWy9PzJ,Bombs 1,album,2016-08-08,https://open.spotify.com/album/40axBXVJLr1yx4oRWy9PzJ,https://i.scdn.co/image/ad9d8789808a2bfa0ac2a974ed3a6bc497814c27

0EWg4ph1fDBtOaKF2082VD,Light Show (feat. Kevin Abstract),single,2014-12-09,https://open.spotify.com/album/0EWg4ph1fDBtOaKF2082VD,https://i.scdn.co/image/0c0cca7e119f2a841bc4b6edd333894fb38ab4fc

0mqUKTXTYVJuaW73UTDBLc,Surrender!,single,2016-02-23,https://open.spotify.com/album/0mqUKTXTYVJuaW73UTDBLc,https://i.scdn.co/image/0f16548f8b01ef75f893c204bfb73a368a080919

1yyCXBEu27Ia1Y3torWIwC,American Boyfriend: A Suburban Love Story,album,2016-11-18,https://open.spotify.com/album/1yyCXBEu27Ia1Y3torWIwC,https://i.scdn.co/image/b9c26bb99e986b5a0ae2bf7040fa6cac727b0dc1

49YUh131n4Aw6gyVLJhaC5,Brainflower,album,2013-10-24,https://open.spotify.com/album/49YUh131n4Aw6gyVLJhaC5,https://i.scdn.co/image/433e678f78f9a4c99e8f29e84bf32c1efaf7c607

6KzBTyqV2PA1b9U6lrVLYk,Empty - Single,single,2016-09-23,https://open.spotify.com/album/6KzBTyqV2PA1b9U6lrVLYk,https://i.scdn.co/image/2810642f049c453c55fa9614990982704da9f578

0BTgOQema3atEyYI2zH2bk,Miserable America,single,2016-11-04,https://open.spotify.com/album/0BTgOQema3atEyYI2zH2bk,https://i.scdn.co/image/099563c92ca752dec01d6bfd8d9979062ef4ea87

4MyNxudSugDwmImYJgQeXm,If I'm Lucky,single,2017-08-31,https://open.spotify.com/album/4MyNxudSugDwmImYJgQeXm,https://i.scdn.co/image/fc3d83bb90defb666bafc25616069407a871bc29

6W8Ku273i62Gj3RWjo9H6a,Tattoos,album,2013-09-10,https://open.spotify.com/album/6W8Ku273i62Gj3RWjo9H6a,https://i.scdn.co/image/a24de48aaf40706f978d5b1596fef03f051453f5

0wfs0UecLXXNGFt33CwMgU,Naked,single,2016-02-12,https://open.spotify.com/album/0wfs0UecLXXNGFt33CwMgU,https://i.scdn.co/image/82f86474424d3200962d83d950c00d3c225ca9a1

6lco392kcWdy1yJ2MTO8he,Swalla (feat. Nicki Minaj & Ty Dolla $ign),single,2017-02-24,https://open.spotify.com/album/6lco392kcWdy1yJ2MTO8he,https://i.scdn.co/image/575b8dc911361efc6092baccbbbdeb1d519155a3

05g8JwaRr2WDiZarbULw09,Kiss the Sky (Remixes),single,2016-09-23,https://open.spotify.com/album/05g8JwaRr2WDiZarbULw09,https://i.scdn.co/image/d0faed424a70c511a1aaf2c87865a57aeee4ff2f

773TVtjVxXvD6DFHsWFJGN,Jason Derulo (Deluxe Audio),album,2010-03-01,https://open.spotify.com/album/773TVtjVxXvD6DFHsWFJGN,https://i.scdn.co/image/3e3dae15b3195387169bed18c4f0cbb4e6e780bd

4ynK4FItUnQEpy1skJy9qq,Reloaded,album,2011-12-16,https://open.spotify.com/album/4ynK4FItUnQEpy1skJy9qq,https://i.scdn.co/image/1e2347076ec2434d43f20392e7ad656860f94dd7

3wDeTllVvayYsWTHsFNWZQ,Tattoos [Deluxe Edition],album,2013-09-10,https://open.spotify.com/album/3wDeTllVvayYsWTHsFNWZQ,https://i.scdn.co/image/2f98f0e2b1c65b9f9ad95e68fa4ff996fcf0d942

6W6kkscDtohJAnJ9M8Nc5b,Tip Toe (feat. French Montana),single,2017-11-10,https://open.spotify.com/album/6W6kkscDtohJAnJ9M8Nc5b,https://i.scdn.co/image/ee2cac73e073ba35946e0fa27c6c5bb07fcec9c8

31tCg5RXhY5jpagfCPcQa2,Future History (Deluxe Version),album,2011-09-16,https://open.spotify.com/album/31tCg5RXhY5jpagfCPcQa2,https://i.scdn.co/image/d114631b28b7a7f9c6f708e0097e34e62eefbb4c

1PslxdbL4bn2GLzjBpjyrR,Kiss the Sky,single,2016-08-12,https://open.spotify.com/album/1PslxdbL4bn2GLzjBpjyrR,https://i.scdn.co/image/a85faee6c27959c488d8070bb2a5435a9d3a93b6

7HoaC5xw6TEBJqZCcBW3Cl,If It Ain't Love,single,2016-04-01,https://open.spotify.com/album/7HoaC5xw6TEBJqZCcBW3Cl,https://i.scdn.co/image/9d5164a1c02e816944835828a4ea382b30503f88

6OFv8k32CcUZGXBoZQ0IiD,Spotify Sessions,album,2015-01-13,https://open.spotify.com/album/6OFv8k32CcUZGXBoZQ0IiD,https://i.scdn.co/image/5c28e7f5bd48ec134929574c8b2782c9f9a33bec

2AGoec9hulenMpjQxe2rqV,Swalla (feat. Nicki Minaj & Ty Dolla $ign) [After Dark Remix],single,2017-05-12,https://open.spotify.com/album/2AGoec9hulenMpjQxe2rqV,https://i.scdn.co/image/7c10e65376124fc59a483e3a70de3c8a88c8fd43

0vVwzbvyc5qlV5aOp4yzUJ,If It Ain't Love (Westfunk Remix),single,2016-05-20,https://open.spotify.com/album/0vVwzbvyc5qlV5aOp4yzUJ,https://i.scdn.co/image/233e49493d4e2cf870e0ae5b5642df83f750a434

5YUCuqfW8rTkGCswfkDrPy,Everything Is 4,album,2015-06-01,https://open.spotify.com/album/5YUCuqfW8rTkGCswfkDrPy,https://i.scdn.co/image/32001ed06f98bce031b30ce40bc0d739f9d2a569

2sbUYB2iwH8cSFLQ2IRmel,Swalla (feat. Nicki Minaj & Ty Dolla $ign) [Wideboys Remix],single,2017-04-14,https://open.spotify.com/album/2sbUYB2iwH8cSFLQ2IRmel,https://i.scdn.co/image/43a8c644c4fb5efb450bc09d4ddd3829343c2008

23A8OTkkbA95Hj7hGs6EuT,Time Bomb Ticking Away,single,2016-07-25,https://open.spotify.com/album/23A8OTkkbA95Hj7hGs6EuT,https://i.scdn.co/image/4a67cac7a11942f6c3e53c4cff54c4d34a6d1f35

0D4SSFwf95jfyfMEj0HeH7,Ghost Ship of Cannibal Rats,single,2016-07-27,https://open.spotify.com/album/0D4SSFwf95jfyfMEj0HeH7,https://i.scdn.co/image/1067e935c6387e19956747ac9756e0852bdcbd3e

38YgqhcZclqGB2XiGAgyQZ,Hits,album,2014-10-31,https://open.spotify.com/album/38YgqhcZclqGB2XiGAgyQZ,https://i.scdn.co/image/948f744fa0efe51d8fce40bef7b31f0441b6fb66

3yuCvOuQzeRrUJ4IUZJU65,Dead Silence,album,2012-09-07,https://open.spotify.com/album/3yuCvOuQzeRrUJ4IUZJU65,https://i.scdn.co/image/48d4772db479e6fa3d0c44a2299f3a9ea7462373

0cZAve1WmMQVlnYDH2gNKs,Red Flag (German Slimline),single,2006-09-15,https://open.spotify.com/album/0cZAve1WmMQVlnYDH2gNKs,https://i.scdn.co/image/1d2bf7551254cde443bc18d158d0c160d7893ce2

75LFJMh2ZS0Ffne3aSyur1,Louder Than the DJ,single,2016-06-03,https://open.spotify.com/album/75LFJMh2ZS0Ffne3aSyur1,https://i.scdn.co/image/7a78f36608dd03d71039d20b38a3a0ea82d72799

2qvmA7JwbTA9H7mbunXqkH,A Passage To Bangkok,single,2016-11-18,https://open.spotify.com/album/2qvmA7JwbTA9H7mbunXqkH,https://i.scdn.co/image/8bca1f80e6218d801e4e2c66b68c782621e5637a

7aeiTumWLTqiS6wBsmJdyh,Billy Talent - 10th Anniversary Edition,album,2013-11-25,https://open.spotify.com/album/7aeiTumWLTqiS6wBsmJdyh,https://i.scdn.co/image/5b22ff594918aeae301b9bf406c4d1157a6fe6e4

4CXKQT09ulv6q7aPXzJJ77,Saint Veronika (2010 JUNO Awards),single,2010-04-20,https://open.spotify.com/album/4CXKQT09ulv6q7aPXzJJ77,https://i.scdn.co/image/c819676c91ce8deb1e99ae01bd3fcf3a6d657a9a

0cTOvcvrbNiaiv4WXEUHzT,Billy Talent II,album,2006-06-23,https://open.spotify.com/album/0cTOvcvrbNiaiv4WXEUHzT,https://i.scdn.co/image/d63225a05a7996ffaf6c6aa89be24fd14acaafbd

5R7OYHbdJCrNy9haoZrsmr,Surprise Surprise,single,2012-08-07,https://open.spotify.com/album/5R7OYHbdJCrNy9haoZrsmr,https://i.scdn.co/image/d2c5f90b9e595f22b2cb5cd813cda993e332dc65

2s8vQMDqwG1ACNPIfoVmDd,The Crutch,single,2016-07-26,https://open.spotify.com/album/2s8vQMDqwG1ACNPIfoVmDd,https://i.scdn.co/image/bfaa928e2613b33aaf0cc4e12dcacca6bf0ad526

58IwNbkCL527REhNX7emWv,Billy Talent III,album,2009-06-30,https://open.spotify.com/album/58IwNbkCL527REhNX7emWv,https://i.scdn.co/image/d5990d157645a5e718f17dcd15e97f12235aff56

6czhTwQYieUR5PkQHVhhdd,Big Red Gun,single,2016-07-28,https://open.spotify.com/album/6czhTwQYieUR5PkQHVhhdd,https://i.scdn.co/image/a935bb6e44356e9f2c3f878bc5f3312278ab9e44

070GBKLUBPzeCM29hGa3PO,Billy Talent - 10th Anniversary Rarities,album,2013-11-25,https://open.spotify.com/album/070GBKLUBPzeCM29hGa3PO,https://i.scdn.co/image/5b22ff594918aeae301b9bf406c4d1157a6fe6e4

2L4JaDmfnBpQqqqeCcROT1,Afraid of Heights,single,2016-05-13,https://open.spotify.com/album/2L4JaDmfnBpQqqqeCcROT1,https://i.scdn.co/image/9c9523f180e04e3604c0091be33efd8590592bca

4Z4FErymthnN4ctJdKRgko,Billy Talent,album,2003-08-26,https://open.spotify.com/album/4Z4FErymthnN4ctJdKRgko,https://i.scdn.co/image/ea48afb38edd055cdf2299197e23abe6ec103180

6BlDrWZeapCtufzCnMBVFZ,Kingdom of Zod,single,2014-09-25,https://open.spotify.com/album/6BlDrWZeapCtufzCnMBVFZ,https://i.scdn.co/image/6c60e6d3070ed4a15c935e2a9ffde9172ff2b9bf

2kqjqQneZx935suPAhokuj,Afraid of Heights (Deluxe Version),album,2016-07-29,https://open.spotify.com/album/2kqjqQneZx935suPAhokuj,https://i.scdn.co/image/72f3dc51dd718e3664761a3113f6bd2dcb05d89b

3LTOUZ17mnW8NR6rcbmkkj,Fallen Leaves,single,2007-01-19,https://open.spotify.com/album/3LTOUZ17mnW8NR6rcbmkkj,https://i.scdn.co/image/9146e8d857f59d026cb4054c94b3aec05f8a73bb

5TMnKX3SaYXgYsmFuH8mxB,Wonderful Wonderful (Deluxe),album,2017-09-22,https://open.spotify.com/album/5TMnKX3SaYXgYsmFuH8mxB,https://i.scdn.co/image/f3eb480262d746e60fa343bcaa2fc5332a90ce45

6Y9QNINfPxrmhprKPwz7z0,¡Happy Birthday Guadalupe!,single,2009-01-01,https://open.spotify.com/album/6Y9QNINfPxrmhprKPwz7z0,https://i.scdn.co/image/29d97b9289f67d8bc48826ebb8088d8c5c6b682d

1s3sPtUQr8fOrBdH4gr1fK,"Joseph, Better You Than Me",single,2008-01-01,https://open.spotify.com/album/1s3sPtUQr8fOrBdH4gr1fK,https://i.scdn.co/image/69092029c431ea3f9667a3789e1de23b66e38582

0WuaDHL5DvJaXkZsh9gd47,Peace Of Mind,single,2016-10-07,https://open.spotify.com/album/0WuaDHL5DvJaXkZsh9gd47,https://i.scdn.co/image/f75fc86a672805c018584f1cbedddacfe8cdacfe

4NtamseeVOGesCm8W9oHSz,Sawdust,album,2007-01-01,https://open.spotify.com/album/4NtamseeVOGesCm8W9oHSz,https://i.scdn.co/image/4a922aeccc35ece3e2df434b93398a2cf93e4234

54vRf8FTijUbOdLS4ZQzd7,Read My Mind,single,2007-01-01,https://open.spotify.com/album/54vRf8FTijUbOdLS4ZQzd7,https://i.scdn.co/image/25d309ec13c774c1ca65f22557fca688fe5398d6

1nlYz5V1hgh6Lq1YbIZ95a,Boots,single,2010-01-01,https://open.spotify.com/album/1nlYz5V1hgh6Lq1YbIZ95a,https://i.scdn.co/image/601edb654e83f4090eda3e07f93db23cd62a60a0

5W05NLmqGsP6j5gXmjvVPX,Mr. Brightside (Jacques Lu Cont's Thin White Duke Mix),single,2005-01-01,https://open.spotify.com/album/5W05NLmqGsP6j5gXmjvVPX,https://i.scdn.co/image/53bb54a72a4366f38bdbd03f3cecef93e620f8b0

5ewSL66uUdCdAdWvUmbfTd,Direct Hits,compilation,2013-01-01,https://open.spotify.com/album/5ewSL66uUdCdAdWvUmbfTd,https://i.scdn.co/image/fae0eec63451f2455789357df95d5a7c1760efd5

4KvNcg4EBNkmXpj4dG2Iac,Don't Shoot Me Santa,single,2007-01-01,https://open.spotify.com/album/4KvNcg4EBNkmXpj4dG2Iac,https://i.scdn.co/image/b38b91526875c74a854ac077ff711ed1417eac9a

652ySapnVUhKFYgibFyvsp,A Great Big Sled,single,2006-01-01,https://open.spotify.com/album/652ySapnVUhKFYgibFyvsp,https://i.scdn.co/image/7897b7156d9d3b35887631cad626aeecc16df5b8

3bQuHUzqw0hdN4jegEv33R,Human (Remixes),single,2008-01-01,https://open.spotify.com/album/3bQuHUzqw0hdN4jegEv33R,https://i.scdn.co/image/9ac0c09695f6dd5057af977e5f352d7a28d0ee0f

7FuhgOwoael0fsg9zjZxog,Day & Age,album,2008-01-01,https://open.spotify.com/album/7FuhgOwoael0fsg9zjZxog,https://i.scdn.co/image/8367759bd363ecd5472ca5968b035ab732d23edd

4undIeGmofnAYKhnDclN1w,Hot Fuss,album,2004-01-01,https://open.spotify.com/album/4undIeGmofnAYKhnDclN1w,https://i.scdn.co/image/74bcf303c0186b19b873a1bbdc2a6c9b3fd0b90b

